Date,Διεύθυνση (°)_kozani,Μέγιστη ένταση 3ώρου (knots)_kozani,Ένταση (knots)_kozani,Θερμ/σία (°C)_kozani,Σχετ.Υγρασία  (%)_kozani,Διεύθυνση (°)_agxialos,Μέγιστη ένταση 3ώρου (knots)_agxialos,Ένταση (knots)_agxialos,Θερμ/σία (°C)_agxialos,Σχετ.Υγρασία  (%)_agxialos,Διεύθυνση (°)_aktio,Μέγιστη ένταση 3ώρου (knots)_aktio,Ένταση (knots)_aktio,Θερμ/σία (°C)_aktio,Σχετ.Υγρασία  (%)_aktio,Διεύθυνση (°)_aleksandroupoli,Μέγιστη ένταση 3ώρου (knots)_aleksandroupoli,Θερμ/σία (°C)_aleksandroupoli,Σχετ.Υγρασία  (%)_aleksandroupoli,Διεύθυνση (°)_araxos,Μέγιστη ένταση 3ώρου (knots)_araxos,Ένταση (knots)_araxos,Θερμ/σία (°C)_araxos,Σχετ.Υγρασία  (%)_araxos,Διεύθυνση (°)_argos,Μέγιστη ένταση 3ώρου (knots)_argos,Ένταση (knots)_argos,Θερμ/σία (°C)_argos,Σχετ.Υγρασία  (%)_argos,Διεύθυνση (°)_florina,Μέγιστη ένταση 3ώρου (knots)_florina,Ένταση (knots)_florina,Θερμ/σία (°C)_florina,Σχετ.Υγρασία  (%)_florina,Διεύθυνση (°)_ioannina,Θερμ/σία (°C)_ioannina,Σχετ.Υγρασία  (%)_ioannina,Διεύθυνση (°)_kalamata,Μέγιστη ένταση 3ώρου (knots)_kalamata,Ένταση (knots)_kalamata,Θερμ/σία (°C)_kalamata,Σχετ.Υγρασία  (%)_kalamata,Διεύθυνση (°)_kavala,Μέγιστη ένταση 3ώρου (knots)_kavala,Ένταση (knots)_kavala,Θερμ/σία (°C)_kavala,Σχετ.Υγρασία  (%)_kavala,Energy (MWh)
1441065600000000000,0.0,0.0,0.0,17.5,58.0,110.0,15.0,11.0,32.6,36.0,60.0,11.0,7.0,23.0,77.0,190.0,37.0,20.2,72.0,240.0,12.0,4.0,31.4,50.0,10.0,4.0,2.0,15.2,97.0,0.0,0.0,0.0,-1.4,90.0,170.0,32.7,21.0,0.0,14.0,0.0,23.0,71.0,160.0,10.0,6.0,26.6,62.0,661.71
1441152000000000000,0.0,0.0,0.0,19.5,51.0,80.0,12.0,9.0,30.6,45.0,0.0,8.0,0.0,24.6,82.0,190.0,20.0,18.4,86.0,270.0,10.0,6.0,31.4,44.0,350.0,7.0,3.0,14.2,61.0,0.0,0.0,0.0,-2.5,93.0,170.0,32.9,17.0,350.0,14.0,4.0,29.4,54.0,0.0,5.0,0.0,21.6,91.0,626.67
1441238400000000000,0.0,0.0,0.0,20.4,49.0,80.0,19.0,7.0,32.4,39.0,80.0,11.0,6.0,24.4,70.0,190.0,14.0,16.6,90.0,68.66298342541437,14.0,3.0,29.0,58.0,236.9479353680431,6.0,2.0,25.1,61.0,0.0,0.0,0.0,-3.3,91.0,170.0,33.0,26.0,0.0,11.0,0.0,29.0,57.0,0.0,6.0,0.0,19.8,86.0,618.25
1441324800000000000,0.0,0.0,0.0,21.2,46.0,90.0,22.0,16.0,30.8,45.0,50.0,11.0,7.0,25.2,67.0,160.0,7.0,17.4,78.0,250.0,12.0,5.0,27.6,68.0,236.9479353680431,14.0,4.0,22.3,77.0,0.0,0.0,0.0,-1.3,94.0,180.0,33.9,16.0,0.0,9.0,0.0,30.4,41.0,50.0,13.0,8.0,22.0,69.0,625.88
1441411200000000000,0.0,0.0,0.0,20.9,48.0,270.0,20.0,14.0,32.8,28.0,70.0,11.0,8.0,24.8,75.0,100.0,20.0,15.0,89.0,170.0,28.0,11.0,33.0,42.0,236.9479353680431,8.0,2.0,22.3,75.0,0.0,0.0,0.0,-3.6,90.0,210.0,32.3,27.0,0.0,9.0,0.0,30.4,51.0,70.0,13.0,4.0,20.0,89.0,613.96
1441497600000000000,0.0,0.0,0.0,22.0,42.0,40.0,17.0,4.0,31.6,26.0,270.0,14.0,5.0,26.6,78.0,98.60147213459517,6.0,8.2,91.0,260.0,12.0,6.0,32.4,38.0,160.0,15.0,6.0,22.4,62.0,0.0,0.0,0.0,-3.1,91.0,240.0,32.8,26.0,180.0,11.0,6.0,31.2,44.0,0.0,4.0,0.0,20.0,81.0,558.33
1441584000000000000,290.0,5.0,1.0,22.2,24.0,70.0,10.0,8.0,30.8,35.0,240.0,9.0,4.0,27.8,68.0,98.60147213459517,6.0,9.8,50.0,250.0,15.0,8.0,32.0,49.0,320.0,16.0,6.0,15.0,96.0,0.0,9.0,0.0,0.1,94.0,210.0,33.5,18.0,280.0,12.0,5.0,32.8,39.0,0.0,4.0,0.0,19.0,88.0,527.21
1441670400000000000,0.0,0.0,0.0,20.4,48.0,100.0,12.0,7.0,30.0,56.0,260.0,13.0,4.0,25.6,60.0,300.0,10.0,14.8,72.0,250.0,12.0,4.0,31.6,41.0,340.0,20.0,11.0,19.8,44.0,350.0,9.0,1.0,1.9,73.0,210.0,34.2,20.0,350.0,15.0,9.0,31.2,34.0,40.0,8.0,5.0,20.8,83.0,543.08
1441756800000000000,0.0,0.0,0.0,18.1,56.0,100.0,20.0,13.0,28.2,63.0,0.0,15.0,0.0,25.8,65.0,20.0,8.0,9.2,79.0,280.0,14.0,7.0,30.2,49.0,236.9479353680431,15.0,5.0,19.2,48.0,0.0,11.0,0.0,2.7,60.0,210.0,32.1,32.0,10.0,15.0,6.0,30.4,38.0,50.0,13.0,9.0,21.6,87.0,336.88
1441843200000000000,0.0,0.0,0.0,14.6,94.0,220.0,19.0,8.0,24.0,62.0,270.0,14.0,9.0,26.4,60.0,110.0,7.0,7.0,82.0,270.0,12.0,5.0,29.6,59.0,340.0,20.0,7.0,22.3,42.0,0.0,0.0,0.0,8.4,41.0,210.0,27.0,44.0,170.0,17.0,6.0,32.4,34.0,0.0,11.0,0.0,19.6,94.0,437.54
1441929600000000000,0.0,1.0,0.0,17.2,98.0,290.0,10.0,7.0,22.4,79.0,310.0,17.0,8.0,26.2,64.0,70.0,7.0,12.4,56.0,0.0,7.0,0.0,30.4,46.0,236.9479353680431,14.0,3.0,16.6,62.0,0.0,0.0,0.0,3.1,58.0,200.0,25.2,41.0,350.0,17.0,7.0,33.8,29.0,0.0,11.0,0.0,20.0,96.0,567.25
1442016000000000000,290.0,8.0,5.0,17.2,76.0,270.0,10.0,5.0,19.0,87.0,300.0,25.0,13.0,26.8,60.0,0.0,8.0,11.8,78.0,0.0,4.0,0.0,26.8,71.0,236.9479353680431,7.0,1.0,13.4,83.0,0.0,1.0,0.0,6.9,51.0,220.0,17.8,73.0,0.0,16.0,0.0,31.4,39.0,0.0,6.0,0.0,17.2,80.0,650.62
1442102400000000000,0.0,5.0,0.0,17.2,57.0,100.0,16.0,13.0,28.4,48.0,50.0,14.0,7.0,22.8,76.0,0.0,5.0,-0.2,92.0,270.0,21.0,10.0,29.8,53.0,236.9479353680431,9.0,2.0,13.7,80.0,0.0,0.0,0.0,-4.3,88.0,180.0,20.2,89.0,350.0,14.0,8.0,27.4,48.0,80.0,9.0,7.0,20.6,61.0,607.96
1442188800000000000,320.0,8.0,4.0,17.2,80.0,140.0,15.0,7.0,25.0,59.0,260.0,14.0,7.0,28.4,48.0,100.0,9.0,10.0,82.0,290.0,19.0,4.0,25.8,68.0,340.0,17.0,9.0,18.3,60.0,0.0,0.0,0.0,-6.1,87.0,230.0,18.4,95.0,20.0,16.0,8.0,24.2,68.0,100.0,14.0,10.0,19.8,60.0,641.79
1442275200000000000,0.0,5.0,0.0,17.2,82.0,110.0,14.0,9.0,29.4,41.0,0.0,5.0,0.0,25.0,62.0,70.0,14.0,12.2,60.0,270.0,17.0,7.0,29.8,48.0,236.9479353680431,6.0,2.0,12.7,82.0,0.0,8.0,0.0,4.4,64.0,300.0,20.4,90.0,350.0,18.0,9.0,30.6,37.0,90.0,12.0,7.0,15.6,53.0,649.38
